Frame ID, Proposed PSRN, Raymond PSNR
1001,21.598974,21.598974
10017,27.153428,37.951117
10020,30.289949,30.268018
10036,29.329983,29.092448
1004,18.263991,18.263991
10048,24.832524,24.833972
10076,43.419469,40.382175
10078,33.778211,36.623369
10103,30.905419,29.961120
10105,29.565690,29.966005
10110,29.790821,30.570680
10140,31.453353,30.591446
10141,31.687944,34.905477
1015,24.578256,24.581573
10156,36.852067,38.738404
10158,35.806554,39.257589
10162,36.015875,36.737621
10189,28.516669,30.300585
10194,31.050809,27.107896
10220,27.976886,27.373048
10235,26.705194,18.566030
10240,27.584783,20.187957
10241,29.547667,24.919997
10287,24.326055,23.279226
10299,29.348824,30.067949
10325,28.439175,31.361246
10338,28.973340,27.978410
10355,27.026094,27.662838
10368,31.243774,30.927520
10408,25.454441,27.200015
10413,26.609434,27.264850
10434,28.559601,27.487623
10439,25.611437,28.217363
10532,29.365883,32.203385
10550,33.559717,34.376695
10563,28.180755,27.094966
10622,31.631759,35.432438
10662,33.300430,33.904189
10675,33.613128,25.287810
10690,31.056585,26.761680
10694,33.997804,35.972049
10705,33.310240,32.689610
10738,33.254786,30.496772
10742,29.201174,29.240052
10748,29.040769,28.916779
10765,28.805724,24.933773
10806,32.848913,33.653044
10807,34.016000,34.521488
10816,27.437184,31.504321
10820,30.454796,29.326752
10828,29.327476,26.583818
10836,41.344365,31.612589
10853,34.470470,36.664729
10859,33.357020,30.321731
10889,33.770065,30.551363
10912,31.041043,29.651015
10943,30.237119,30.324399
10988,30.700823,31.033110
10989,26.804279,27.631956
11036,28.470801,28.591354
11076,31.965421,35.370804
11109,25.945823,28.685068
11121,31.049677,32.221336
11122,31.941685,34.189023
11151,28.987452,28.907300
11177,33.462364,31.754512
11179,33.794395,36.687374
11183,33.950979,31.235200
11189,25.296640,25.790278
11248,29.262300,29.006385
11296,31.560041,27.420438
11311,34.755746,30.899951
1133,21.718047,21.718047
11343,29.712746,34.096133
11440,34.433825,29.611860
11441,33.679215,30.263631
11446,31.443662,28.474206
11466,29.965120,27.397882
11488,34.744571,35.512176
1149,26.538889,26.538889
11504,33.071969,33.864220
11530,30.305320,32.890071
1154,27.907844,27.907844
1156,23.410351,23.409808
11579,31.872100,27.807715
11627,31.479525,30.189712
11630,34.607481,27.844810
11682,23.981053,20.013991
11715,37.736477,39.709310
11725,25.736173,23.385269
11752,31.067344,29.298964
11787,32.732334,36.162837
1180,22.138471,22.140396
11814,30.416923,30.344095
1182,22.810531,22.810531
11826,30.726860,27.765343
11827,30.155768,32.356510
11831,26.697293,30.757447
11845,33.361974,34.966018
11861,33.071054,33.301736
11877,33.565312,32.559913
11894,30.210668,30.534817
11979,33.550489,34.180379
1200,22.885631,22.965059
12036,30.308919,29.593240
12039,28.297978,29.734093
12069,30.428519,29.820437
12131,32.347467,29.531082
12135,32.033400,36.193352
12137,33.216643,33.031816
1214,21.985568,21.985779
12177,28.743526,25.228426
12206,26.684527,25.983949
1221,21.293263,21.293263
12210,25.962795,26.072789
12214,30.806062,27.109436
12216,33.348669,27.884722
12259,26.044051,27.434967
1226,22.464460,22.465801
12266,30.006250,28.929861
12270,32.520503,25.634412
12278,27.526294,28.600221
12287,31.637515,27.025689
12358,30.975284,29.920237
12363,39.702059,27.960434
12402,33.364189,43.171638
12459,33.486539,33.496157
12486,33.894782,33.894782
12507,33.465002,36.692896
12513,36.519303,35.024019
12515,33.104777,43.922700
1255,23.008351,23.008351
12562,26.086834,28.297086
12563,25.456974,32.101391
12604,36.981905,43.783416
12611,36.088276,36.354449
12646,36.900414,36.707403
12652,38.139560,36.043864
12719,35.235905,32.155235
12738,34.251188,38.631787
12752,35.808388,34.889400
12755,33.818278,33.393109
12769,37.266744,37.546857
12783,34.744051,34.540591
12786,37.327494,36.146607
12831,35.663643,35.665542
12845,35.921804,35.032279
12847,39.102155,40.704049
12853,39.241071,40.964536
12859,38.608674,38.780850
12868,45.701384,45.703896
12878,40.549342,43.934568
12918,36.043639,35.787367
12952,34.309797,35.147775
12968,31.824126,28.591292
12977,40.917532,40.917532
13017,28.726033,30.905352
13023,28.818072,25.879599
13029,26.379606,28.199044
13055,23.729925,21.029631
13063,30.437556,36.632031
13086,30.303823,30.276820
13109,31.997945,32.978806
13135,29.768667,30.220448
13141,24.649622,24.486523
13150,21.726858,22.516007
13207,20.614156,19.023747
13212,19.881310,21.667768
13237,22.078320,29.346778
13260,20.347830,19.617924
13263,20.335235,22.059100
13286,30.945637,32.782291
1329,23.893325,23.893325
13300,26.181779,20.600217
13307,22.569276,24.621073
13313,23.241959,21.374991
13397,25.164725,24.180956
13439,24.883507,20.681822
13448,28.425953,26.506699
13496,20.939707,22.874659
13526,25.709034,25.622178
13546,31.758573,30.296646
13566,34.260379,35.705623
13580,28.302943,32.285084
13582,29.802288,28.891013
13603,30.029356,30.458283
13623,34.005205,33.688623
13630,34.346303,30.113155
13646,30.621195,28.553558
13663,32.509863,32.380918
13674,30.580880,29.420927
1368,33.901113,33.905078
13705,24.778714,16.923644
13770,20.132659,20.921348
13789,28.817101,28.110566
13808,29.748334,29.432127
13809,28.189683,31.844965
13822,31.194780,30.568292
13836,29.834444,34.594105
13847,29.495863,31.751331
13877,32.494642,30.714651
13916,31.943163,31.164804
13954,26.490235,25.170088
13961,28.238547,26.660077
13986,28.781846,30.952080
1399,20.151488,14.590867
14025,33.592207,32.934908
14031,34.317269,34.877148
14051,32.723457,31.658855
14057,30.681884,27.881444
14112,33.324090,24.768889
14138,33.055164,34.511252
14139,28.313232,30.141871
14143,31.020444,32.330614
1418,27.732853,33.813783
14186,33.594473,34.309633
14205,36.770020,35.248238
14227,26.500207,25.979555
14244,29.372872,28.818223
14252,26.561495,27.802492
14260,30.329477,34.476590
14261,28.858708,28.270536
14300,31.043082,30.194664
14308,34.770507,35.098301
1432,26.745260,26.781448
14369,29.170542,36.902141
14379,30.607718,37.657678
14381,31.582414,35.467048
14387,32.877203,35.099739
14395,34.686408,35.602044
14415,34.518215,41.903471
14425,31.435680,32.760468
14431,29.376815,31.106397
1444,30.985183,29.144354
14488,35.835329,33.814224
14521,33.365830,42.992434
14553,29.756835,31.350583
14575,21.461514,24.758884
1460,24.394625,24.138310
1462,23.763287,23.491813
14631,31.315881,33.505388
14645,28.060178,27.402964
14661,30.323082,30.178777
14669,32.093557,31.701862
14682,31.338677,30.967758
14698,27.119720,27.914053
14707,30.285526,30.939924
14773,31.389900,34.737336
1478,25.320712,24.232497
14827,31.339058,30.590706
14830,27.920612,26.615614
14843,31.079715,30.271772
14864,28.298103,27.712623
14884,27.931706,26.151306
14889,26.719395,27.107758
14905,26.756302,26.956394
14928,31.622955,29.842251
14930,28.744783,30.533290
14963,30.986634,30.830442
14964,34.002515,34.613727
15005,31.402248,28.554363
15020,27.462919,28.651023
15024,28.354017,28.426815
15032,36.996670,29.990926
1508,27.222237,27.222237
15099,33.102773,34.636051
15114,30.893164,30.579563
15151,32.065078,31.707178
15159,34.231425,32.667603
15173,29.554318,28.565950
15178,33.840573,34.630082
15250,32.978971,29.159587
15290,32.092561,29.379719
15385,33.308273,32.981663
15391,34.236079,33.007041
15427,29.253777,27.708845
15431,27.418268,26.132572
15447,27.360969,28.063070
15450,25.246365,27.997735
15456,28.976387,29.168167
15464,26.394405,25.839463
15520,26.130228,26.239403
15532,28.907073,32.748494
15542,29.259244,29.670819
15547,30.670970,27.299618
15559,23.661409,22.560496
15586,22.037864,23.713105
1559,36.585749,36.585749
15620,26.778046,25.499073
15621,26.108236,24.706386
15660,33.442138,35.202111
15661,32.634963,30.310409
15686,24.021571,22.474803
15692,23.292187,21.965623
15766,33.315355,37.895842
15768,31.320819,29.772985
15780,30.909275,31.330802
15797,31.710358,30.438184
15811,31.399553,31.225064
15840,31.735350,28.341186
15842,32.219883,33.319015
15847,29.085538,31.883139
15864,31.500782,29.688339
15871,39.120665,35.631733
15877,33.307523,31.192712
15898,33.530170,31.995644
