Frame ID, Proposed SSIM, Raymond SSIM
1001,0.973078,0.973078
10017,0.987916,0.998865
10020,0.993213,0.992904
10036,0.991841,0.989516
1004,0.948252,0.948252
10048,0.985022,0.985014
10076,0.995395,0.994429
10078,0.985576,0.991881
10103,0.981594,0.978607
10105,0.969616,0.974620
10110,0.977261,0.981693
10140,0.978297,0.979714
10141,0.976453,0.991799
1015,0.986056,0.986077
10156,0.993066,0.996781
10158,0.993347,0.995715
10162,0.991369,0.990360
10189,0.967012,0.974586
10194,0.979538,0.965449
10220,0.954822,0.953591
10235,0.924139,0.900723
10240,0.925783,0.915132
10241,0.944645,0.932092
10287,0.958736,0.961170
10299,0.969933,0.973043
10325,0.974020,0.986546
10338,0.977507,0.975013
10355,0.967641,0.969221
10368,0.981923,0.981562
10408,0.968188,0.965572
10413,0.975959,0.976390
10434,0.972335,0.968067
10439,0.965109,0.972260
10532,0.974260,0.982325
10550,0.990310,0.990563
10563,0.971904,0.970318
10622,0.974325,0.987364
10662,0.982287,0.984911
10675,0.987015,0.963657
10690,0.975470,0.967225
10694,0.983563,0.989402
10705,0.982500,0.980995
10738,0.984597,0.974607
10742,0.969247,0.963746
10748,0.969019,0.981670
10765,0.961933,0.944899
10806,0.989347,0.987907
10807,0.992313,0.994681
10816,0.983047,0.991962
10820,0.982973,0.980008
10828,0.983713,0.974540
10836,0.996335,0.978757
10853,0.992165,0.991815
10859,0.984001,0.976230
10889,0.990469,0.982554
10912,0.984973,0.980782
10943,0.974433,0.970717
10988,0.982447,0.984432
10989,0.970859,0.972405
11036,0.971119,0.977936
11076,0.980238,0.989847
11109,0.967709,0.980218
11121,0.984349,0.987458
11122,0.989035,0.991896
11151,0.985416,0.985783
11177,0.992828,0.982776
11179,0.993307,0.995922
11183,0.993592,0.985745
11189,0.971296,0.972134
11248,0.980574,0.983576
11296,0.975853,0.956760
11311,0.987793,0.976266
1133,0.980058,0.980058
11343,0.964538,0.986856
11440,0.992754,0.986877
11441,0.991705,0.979784
11446,0.985993,0.977910
11466,0.979107,0.970473
11488,0.987829,0.990957
1149,0.991352,0.991352
11504,0.980821,0.984903
11530,0.974772,0.981661
1154,0.992758,0.992758
1156,0.980671,0.980675
11579,0.984231,0.964878
11627,0.981561,0.979006
11630,0.991138,0.976892
11682,0.917203,0.916984
11715,0.995364,0.996639
11725,0.956975,0.952079
11752,0.976530,0.967071
11787,0.987210,0.993571
1180,0.977376,0.977402
11814,0.978976,0.983397
1182,0.980235,0.980235
11826,0.983372,0.977208
11827,0.985567,0.988206
11831,0.975241,0.987360
11845,0.986338,0.987196
11861,0.989597,0.988539
11877,0.993664,0.989147
11894,0.984964,0.981563
11979,0.993559,0.995891
1200,0.980959,0.981149
12036,0.978957,0.961154
12039,0.958452,0.964493
12069,0.974858,0.970275
12131,0.988060,0.975726
12135,0.982009,0.990647
12137,0.985418,0.984785
1214,0.977387,0.977388
12177,0.969037,0.958369
12206,0.955958,0.956341
1221,0.974347,0.974347
12210,0.954449,0.958142
12214,0.983647,0.972672
12216,0.986944,0.964461
12259,0.949422,0.955722
1226,0.979170,0.979187
12266,0.976677,0.973281
12270,0.984357,0.960990
12278,0.956437,0.977557
12287,0.977029,0.958210
12358,0.985469,0.985927
12363,0.991743,0.981029
12402,0.994310,0.998359
12459,0.982737,0.985069
12486,0.997258,0.997258
12507,0.996144,0.998242
12513,0.996940,0.995599
12515,0.994462,0.999214
1255,0.981080,0.981080
12562,0.960013,0.966513
12563,0.952364,0.984557
12604,0.987964,0.996583
12611,0.995967,0.996237
12646,0.994664,0.993656
12652,0.996507,0.993189
12719,0.989819,0.980825
12738,0.992080,0.996047
12752,0.992844,0.988139
12755,0.990477,0.989213
12769,0.996713,0.996538
12783,0.992679,0.992661
12786,0.994904,0.993554
12831,0.994192,0.994920
12845,0.995841,0.994397
12847,0.996725,0.997478
12853,0.995993,0.997169
12859,0.996968,0.997082
12868,0.999511,0.999511
12878,0.998403,0.999348
12918,0.995100,0.994924
12952,0.985510,0.986658
12968,0.982952,0.965626
12977,0.999451,0.999451
13017,0.965591,0.975846
13023,0.974711,0.967579
13029,0.965687,0.967906
13055,0.943929,0.914353
13063,0.980466,0.993895
13086,0.974487,0.972138
13109,0.982292,0.986923
13135,0.980134,0.979208
13141,0.928451,0.941422
